Trait,Scheme,rFm1,rFm2,rFm3
SA,0/12,-0.07568748608054576,0.11100674297418318,0.16712108171538267
SA,0/16,-0.06859390822622069,0.18521113406650067,0.1114044579623943
SA,0/20,-0.04221737872116161,0.16726352000795747,0.09203039764819639
SA,0/24,0.02373463099661311,0.09675820450849408,0.12423819780790793
SA,0/28,-0.06318874976040574,0.13649861964075796,0.06340697345711906
SA,0/31,0.06643368336886205,0.10613119251565901,0.08051890559486452
SA,12/0,0.30017021179489756,0.381723707693565,0.40837675838745496
SA,12/12,0.3130572960581012,0.39401091103107083,0.38632642190213284
SA,12/16,0.3037684324107645,0.37336648660068367,0.3969706240257154
SA,12/19,0.3160878189442279,0.38795580674166136,0.3914180538171832
SA,12/4,0.29852747837066423,0.3926502484990226,0.39130170652015245
SA,12/8,0.310562861433293,0.3856775876928163,0.3867806212998346
SA,16/0,0.39956415027513903,0.5488502486307589,0.5542374045267628
SA,16/12,0.4076439159607698,0.5648038821708021,0.5357224295681967
SA,16/15,0.4098506681353881,0.56146961226128,0.5470218362573157
SA,16/4,0.3945031709846215,0.5559607263866759,0.5291505065670163
SA,16/8,0.40437697511799264,0.5706004949600336,0.5549274168523736
SA,20/0,0.45156208997943587,0.60972979271301,0.6162198066193808
SA,20/11,0.48118128787891207,0.6282403374455726,0.6024164577469816
SA,20/4,0.472501953667177,0.6222820396147856,0.6139346153891355
SA,20/8,0.49678304812250357,0.6457523980865552,0.5925561298651214
SA,24/0,0.5163523534166671,0.62664714241138475,0.6280093592622891
SA,24/4,0.5162718639058484,0.6337179978208605,0.6094938836074435
SA,24/7,0.5280026277836293,0.6372768531336871,0.6383979575321805
SA,28/0,0.5898594437042148,0.6555297793556901,0.6719814202071176
SA,28/3,0.595031409662377,0.6632048378438429,0.6821903722122052
SA,31/0,0.6190585246550451,0.6422018705565138,0.6723331712782351
SA,4/12,0.14044287567425742,0.15888628151311723,0.1483277761786316
SA,4/16,0.15840149843770426,0.17148583554332908,0.17851514973246252
SA,4/20,0.14856605813116083,0.14367093339827136,0.16593608130562482
SA,4/24,0.13654262745187476,0.17300376176147486,0.16314088149306769
SA,4/27,0.1692675612413396,0.1793795173154781,0.18755678348411936
SA,4/8,0.14307870104481907,0.21826403013576798,0.21113955419329986
SA,8/12,0.17953589262761224,0.2169739310004478,0.21217341323967778
SA,8/16,0.17652246114075623,0.21612310508697835,0.20827775923127798
SA,8/20,0.19009142766731904,0.22890894362873868,0.25207640414132554
SA,8/23,0.17649705111121577,0.22064135328489026,0.22116337355779844
SA,8/4,0.175261663248676,0.22440967547419668,0.23506366671656634
SA,8/8,0.19155686008892125,0.20179730842084526,0.21307238058205127
TCH,0/12,-0.02730700834458902,0.09187679772205094,0.08864924953601679
TCH,0/16,-0.013569040259087995,0.028389964010466968,0.09207727153744488
TCH,0/20,-0.016863102637075328,0.1306718475772432,0.12715278323971577
TCH,0/24,0.03371066295485396,0.0368344374632413,0.0938240243584128
TCH,0/28,0.017780120589799362,0.20843601491601685,0.16326139978845103
TCH,0/31,-0.017891421951831313,0.11191219419353289,0.16688230609421797
TCH,12/0,0.1791212964415491,0.18753127876372225,0.16748230617385698
TCH,12/12,0.20725274118538506,0.21335654895010617,0.21584792389671922
TCH,12/16,0.19985652882740348,0.22288410817557155,0.22800959154495037
TCH,12/19,0.20338744336350842,0.21427417420295322,0.20233819508889317
TCH,12/4,0.19514324665537242,0.21344033615538846,0.21975270622862594
TCH,12/8,0.19751931840779222,0.20994643249832115,0.20523589302576964
TCH,16/0,0.22791513547642592,0.24912842103776875,0.25413019305305845
TCH,16/12,0.24465281098172928,0.2723150712349949,0.2637937392930143
TCH,16/15,0.23774854733972864,0.2741852512096232,0.2772205688349298
TCH,16/4,0.23308655623676194,0.25368934381981234,0.2566955884535837
TCH,16/8,0.23630367557639106,0.2690122715458223,0.2645711698520876
TCH,20/0,0.27814172935276715,0.3072298218278163,0.3208865765906339
TCH,20/11,0.28857510412569404,0.3191047635799032,0.32589411747145036
TCH,20/4,0.2871281813695867,0.3119931141729827,0.322516979162845
TCH,20/8,0.284254400629368,0.30219522670263016,0.3179295558474047
TCH,24/0,0.3368433494108789,0.3572586240701236,0.3632851478406958
TCH,24/4,0.34337807017830957,0.3626111221724055,0.36844592746070737
TCH,24/7,0.3459879033393265,0.368855550834338,0.36769651280329807
TCH,28/0,0.3634130642416255,0.3783411181129109,0.3784783678031584
TCH,28/3,0.3639870305753755,0.3839887484151186,0.3852279285114558
TCH,31/0,0.357947345723809,0.3678026277303059,0.37553703044924874
TCH,4/12,0.11698597987780494,0.08719365292947164,0.13295905151411905
TCH,4/16,0.1137752888074838,0.10100644783254258,0.1295843722072019
TCH,4/20,0.11972093463458736,0.11097737259224856,0.15869835487778397
TCH,4/24,0.10550479128862955,0.12679046553578446,0.13543472040795804
TCH,4/27,0.10793937708424958,0.11170446047601296,0.1442053388513757
TCH,4/8,0.11290846925533699,0.08911731803184857,0.12056943947440384
TCH,8/12,0.16191063431548988,0.17027890486187786,0.15728062225187944
TCH,8/16,0.15969177360757303,0.16876802005819452,0.17445356356459582
TCH,8/20,0.17732725277947634,0.18665241621293235,0.2031159421060893
TCH,8/23,0.155310572216454,0.16909844142268074,0.17192411526003373
TCH,8/4,0.1554495121905475,0.1670323239857414,0.14943737045014668
TCH,8/8,0.17816489027771068,0.18695928227724523,0.19340642363704863
